First Name,Last Name,Position,Season Type,From,To,G,GS,MIN,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS,,G,GS,MIN,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS
Alaa,Abdelnaby,F-C,Regular Season,(1990-91),(1994-95),256,53,"3,200",620,"1,236",50%,0,3,0%,225,321,70%,283,563,846,85,71,69,247,484,"1,465",,---,---,12.50,2.42,4.83,50%,0.00,0.01,0%,0.88,1.25,70%,1.11,2.20,3.30,0.33,0.28,0.27,0.96,1.89,5.72
Zaid,Abdul-Aziz,C-F,Regular Season,(1968-69),(1977-78),505,,"11,023","1,769","4,138",43%,---,---,---,"1,019","1,400",73%,503,"1,124","4,065",601,131,205,14,"1,120","4,557",,---,---,21.83,3.50,8.19,43%,---,---,---,2.02,2.77,73%,1.00,2.23,8.05,1.19,0.26,0.41,0.03,2.22,9.02
Kareem,Abdul-Jabbar,C,Regular Season,(1969-70),(1988-89),"1,560",625,"57,446","15,837","28,307",56%,1,18,6%,"6,712","9,304",72%,"2,975","9,394","17,440","5,660","1,160","3,189","2,527","4,657","38,387",,---,---,36.82,10.15,18.15,56%,0.00,0.01,6%,4.30,5.96,72%,1.91,6.02,11.18,3.63,0.74,2.04,1.62,2.99,24.61
Mahdi,Abdul-Rahman,G,Regular Season,(1964-65),(1973-74),724,,"19,202","3,597","8,162",44%,---,---,---,"1,893","2,502",76%,18,39,"2,146","3,555",26,6,---,"2,027","9,087",,---,---,26.52,4.97,11.27,44%,---,---,---,2.61,3.46,76%,0.02,0.05,2.96,4.91,0.04,0.01,---,2.80,12.55
Mahmoud,Abdul-Rauf,G,Regular Season,(1990-91),(2000-01),586,336,"15,628","3,514","7,943",44%,474,"1,339",35%,"1,051","1,161",91%,219,868,"1,087","2,079",487,46,963,"1,106","8,553",,---,---,26.67,6.00,13.55,44%,0.81,2.28,35%,1.79,1.98,91%,0.37,1.48,1.85,3.55,0.83,0.08,1.64,1.89,14.60
Tariq,Abdul-Wahad,F,Regular Season,(1997-98),(2002-03),236,145,"4,807",720,"1,726",42%,18,76,24%,372,529,70%,286,490,776,266,184,83,309,485,"1,830",,---,---,20.37,3.05,7.31,42%,0.08,0.32,24%,1.58,2.24,70%,1.21,2.08,3.29,1.13,0.78,0.35,1.31,2.06,7.75
Shareef,Abdur-Rahim,F,Regular Season,(1996-97),(2007-08),830,704,"28,882","5,434","11,515",47%,154,519,30%,"4,006","4,943",81%,"1,869","4,370","6,239","2,109",820,638,"2,136","2,324","15,028",,---,---,34.80,6.55,13.87,47%,0.19,0.63,30%,4.83,5.96,81%,2.25,5.27,7.52,2.54,0.99,0.77,2.57,2.80,18.11
Tom,Abernethy,F,Regular Season,(1976-77),(1980-81),319,,"5,434",724,"1,472",49%,0,2,0%,331,443,75%,374,637,"1,011",384,185,60,129,525,"1,779",,---,---,17.03,2.27,4.61,49%,0.00,0.01,0%,1.04,1.39,75%,1.17,2.00,3.17,1.20,0.58,0.19,0.40,1.65,5.58
Forest,Able,G,Regular Season,(1956-57),(1956-57),1,---,1,0,2,0%,---,---,---,0,0,,---,---,1,1,---,---,---,1,0,,---,---,1.00,0.00,2.00,0%,---,---,---,0.00,0.00,,---,---,1.00,1.00,---,---,---,1.00,0.00
John,Abramovic,F,Regular Season,(1946-47),(1947-48),56,---,---,203,855,24%,---,---,---,127,185,69%,---,---,---,37,---,---,---,171,533,,---,---,---,3.63,15.27,24%,---,---,---,2.27,3.30,69%,---,---,---,0.66,---,---,---,3.05,9.52
Alex,Abrines,G,Regular Season,(2016-17),(2018-19),174,16,"2,777",305,789,39%,219,595,37%,95,108,88%,49,199,248,88,92,22,72,291,924,,---,---,15.96,1.75,4.53,39%,1.26,3.42,37%,0.55,0.62,88%,0.28,1.14,1.43,0.51,0.53,0.13,0.41,1.67,5.31
Alex,Acker,G,Regular Season,(2005-06),(2008-09),30,0,234,34,92,37%,8,25,32%,5,10,50%,9,20,29,16,6,4,11,13,81,,---,---,7.80,1.13,3.07,37%,0.27,0.83,32%,0.17,0.33,50%,0.30,0.67,0.97,0.53,0.20,0.13,0.37,0.43,2.70
Don,Ackerman,G,Regular Season,(1953-54),(1953-54),28,---,220,14,63,22%,---,---,---,15,28,54%,---,---,15,23,---,---,---,43,43,,---,---,7.86,0.50,2.25,22%,---,---,---,0.54,1.00,54%,---,---,0.54,0.82,---,---,---,1.54,1.54
Mark,Acres,F-C,Regular Season,(1987-88),(1992-93),375,68,"5,982",514,"1,016",51%,7,13,54%,308,463,67%,581,944,"1,525",180,137,104,235,932,"1,343",,---,---,15.95,1.37,2.71,51%,0.02,0.03,54%,0.82,1.23,67%,1.55,2.52,4.07,0.48,0.37,0.28,0.63,2.49,3.58
Bud,Acton,F,Regular Season,(1967-68),(1967-68),23,---,195,29,74,39%,---,---,---,19,29,66%,---,---,47,11,---,---,---,35,77,,---,---,8.48,1.26,3.22,39%,---,---,---,0.83,1.26,66%,---,---,2.04,0.48,---,---,---,1.52,3.35
Quincy,Acy,F,Regular Season,(2012-13),(2018-19),337,60,"5,392",583,"1,314",44%,183,523,35%,293,386,76%,309,869,"1,178",217,140,135,219,665,"1,642",,---,---,16.00,1.73,3.90,44%,0.54,1.55,35%,0.87,1.15,76%,0.92,2.58,3.50,0.64,0.42,0.40,0.65,1.97,4.87
Steven,Adams,C,Regular Season,(2013-14),(2019-20),530,466,"14,207","2,157","3,665",59%,1,11,9%,876,"1,574",56%,"1,824","2,205","4,029",615,467,531,757,"1,384","5,191",,---,---,26.81,4.07,6.92,59%,0.00,0.02,9%,1.65,2.97,56%,3.44,4.16,7.60,1.16,0.88,1.00,1.43,2.61,9.79
Jaylen,Adams,G,Regular Season,(2018-19),(2018-19),34,1,428,38,110,35%,25,74,34%,7,9,78%,11,49,60,65,14,5,28,45,108,,---,---,12.59,1.12,3.24,35%,0.74,2.18,34%,0.21,0.26,78%,0.32,1.44,1.76,1.91,0.41,0.15,0.82,1.32,3.18
Jordan,Adams,G,Regular Season,(2014-15),(2015-16),32,0,263,37,92,40%,10,26,38%,17,28,61%,9,21,30,19,19,7,16,26,101,,---,---,8.22,1.16,2.88,40%,0.31,0.81,38%,0.53,0.88,61%,0.28,0.66,0.94,0.59,0.59,0.22,0.50,0.81,3.16
Hassan,Adams,G,Regular Season,(2006-07),(2008-09),73,8,547,79,148,53%,0,1,0%,27,42,64%,36,48,84,14,18,5,26,51,185,,---,---,7.49,1.08,2.03,53%,0.00,0.01,0%,0.37,0.58,64%,0.49,0.66,1.15,0.19,0.25,0.07,0.36,0.70,2.53
Michael,Adams,G,Regular Season,(1985-86),(1995-96),653,510,"20,446","3,257","7,849",41%,949,"2,857",33%,"2,158","2,543",85%,416,"1,484","1,900","4,209","1,081",67,"1,402","1,193","9,621",,---,---,31.31,4.99,12.02,41%,1.45,4.38,33%,3.30,3.89,85%,0.64,2.27,2.91,6.45,1.66,0.10,2.15,1.83,14.73
Alvan,Adams,C-F,Regular Season,(1975-76),(1987-88),988,342,"27,203","5,709","11,464",50%,2,15,13%,"2,490","3,160",79%,"2,015","4,922","6,937","4,012","1,289",808,"2,194","3,214","13,910",,---,---,27.53,5.78,11.60,50%,0.00,0.02,13%,2.52,3.20,79%,2.04,4.98,7.02,4.06,1.30,0.82,2.22,3.25,14.08
Don,Adams,F,Regular Season,(1970-71),(1976-77),487,,"12,407","1,682","4,186",40%,---,---,---,872,"1,180",74%,364,844,"2,732",869,283,55,---,"1,591","4,236",,---,---,25.48,3.45,8.60,40%,---,---,---,1.79,2.42,74%,0.75,1.73,5.61,1.78,0.58,0.11,---,3.27,8.70
Rafael,Addison,F-G,Regular Season,(1986-87),(1996-97),379,54,"5,697",920,"2,047",45%,69,245,28%,277,359,77%,262,518,780,339,148,83,284,671,"2,186",,---,---,15.03,2.43,5.40,45%,0.18,0.65,28%,0.73,0.95,77%,0.69,1.37,2.06,0.89,0.39,0.22,0.75,1.77,5.77
Bam,Adebayo,C,Regular Season,(2017-18),(2019-20),223,119,"5,698",894,"1,616",55%,5,36,14%,559,787,71%,459,"1,254","1,713",653,185,199,391,523,"2,352",,---,---,25.55,4.01,7.25,55%,0.02,0.16,14%,2.51,3.53,71%,2.06,5.62,7.68,2.93,0.83,0.89,1.75,2.35,10.55
Deng,Adel,F,Regular Season,(2018-19),(2018-19),19,3,194,11,36,31%,6,23,26%,4,4,100%,3,16,19,5,1,4,6,13,32,,---,---,10.21,0.58,1.89,31%,0.32,1.21,26%,0.21,0.21,100%,0.16,0.84,1.00,0.26,0.05,0.21,0.32,0.68,1.68
Rick,Adelman,G,Regular Season,(1968-69),(1974-75),462,,"10,427","1,381","3,330",41%,---,---,---,817,"1,146",71%,41,123,"1,129","1,606",106,9,---,990,"3,579",,---,---,22.57,2.99,7.21,41%,---,---,---,1.77,2.48,71%,0.09,0.27,2.44,3.48,0.23,0.02,---,2.14,7.75
Jeff,Adrien,F,Regular Season,(2010-11),(2014-15),153,17,"2,148",264,557,47%,0,2,0%,181,288,63%,221,438,659,100,50,79,91,259,709,,---,---,14.04,1.73,3.64,47%,0.00,0.01,0%,1.18,1.88,63%,1.44,2.86,4.31,0.65,0.33,0.52,0.59,1.69,4.63
Arron,Afflalo,G,Regular Season,(2007-08),(2017-18),762,537,"20,829","2,983","6,633",45%,852,"2,205",39%,"1,380","1,673",82%,334,"1,842","2,176","1,386",341,142,852,"1,481","8,198",,---,---,27.33,3.91,8.70,45%,1.12,2.89,39%,1.81,2.20,82%,0.44,2.42,2.86,1.82,0.45,0.19,1.12,1.94,10.76
Maurice,Ager,G,Regular Season,(2006-07),(2010-11),82,4,505,64,189,34%,11,44,25%,30,53,57%,8,38,46,19,6,6,29,65,169,,---,---,6.16,0.78,2.30,34%,0.13,0.54,25%,0.37,0.65,57%,0.10,0.46,0.56,0.23,0.07,0.07,0.35,0.79,2.06
Mark,Aguirre,F-G,Regular Season,(1981-82),(1993-94),923,639,"27,730","7,201","14,865",48%,392,"1,258",31%,"3,664","4,944",74%,"1,704","2,874","4,578","2,871",687,296,"2,306","2,599","18,458",,---,---,30.04,7.80,16.11,48%,0.42,1.36,31%,3.97,5.36,74%,1.85,3.11,4.96,3.11,0.74,0.32,2.50,2.82,20.00
Blake,Ahearn,G,Regular Season,(2007-08),(2011-12),19,0,226,21,77,27%,14,47,30%,32,33,97%,1,21,22,22,7,0,22,27,88,,---,---,11.89,1.11,4.05,27%,0.74,2.47,30%,1.68,1.74,97%,0.05,1.11,1.16,1.16,0.37,0.00,1.16,1.42,4.63
Danny,Ainge,G,Regular Season,(1981-82),(1994-95),"1,042",508,"27,755","4,643","9,905",47%,"1,002","2,651",38%,"1,676","1,980",85%,695,"2,073","2,768","4,199","1,133",132,"1,566","2,549","11,964",,---,---,26.64,4.46,9.51,47%,0.96,2.54,38%,1.61,1.90,85%,0.67,1.99,2.66,4.03,1.09,0.13,1.50,2.45,11.48
Alexis,Ajinca,C,Regular Season,(2008-09),(2016-17),293,76,"3,905",645,"1,283",50%,12,42,29%,251,315,80%,346,804,"1,150",143,102,181,249,661,"1,553",,---,---,13.33,2.20,4.38,50%,0.04,0.14,29%,0.86,1.08,80%,1.18,2.74,3.92,0.49,0.35,0.62,0.85,2.26,5.30
Henry,Akin,C-F,Regular Season,(1966-67),(1967-68),86,---,712,129,367,35%,---,---,---,46,68,68%,---,---,177,39,---,---,---,130,304,,---,---,8.28,1.50,4.27,35%,---,---,---,0.53,0.79,68%,---,---,2.06,0.45,---,---,---,1.51,3.53
Josh,Akognon,G,Regular Season,(2012-13),(2012-13),3,0,9,2,4,50%,1,2,50%,0,0,,0,1,1,1,0,0,0,3,5,,---,---,3.00,0.67,1.33,50%,0.33,0.67,50%,0.00,0.00,,0.00,0.33,0.33,0.33,0.00,0.00,0.00,1.00,1.67
DeVaughn,Akoon-Purcell,G,Regular Season,(2018-19),(2018-19),7,0,22,3,10,30%,0,4,0%,1,2,50%,1,3,4,6,2,0,2,4,7,,---,---,3.14,0.43,1.43,30%,0.00,0.57,0%,0.14,0.29,50%,0.14,0.43,0.57,0.86,0.29,0.00,0.29,0.57,1.00
Solomon,Alabi,C,Regular Season,(2010-11),(2011-12),26,0,181,16,51,31%,0,0,,7,10,70%,22,39,61,5,4,11,8,16,39,,---,---,6.96,0.62,1.96,31%,0.00,0.00,,0.27,0.38,70%,0.85,1.50,2.35,0.19,0.15,0.42,0.31,0.62,1.50
Mark,Alarie,F,Regular Season,(1986-87),(1990-91),325,41,"5,500","1,037","2,184",47%,34,135,25%,324,418,78%,438,682,"1,120",363,132,109,309,712,"2,432",,---,---,16.92,3.19,6.72,47%,0.10,0.42,25%,1.00,1.29,78%,1.35,2.10,3.45,1.12,0.41,0.34,0.95,2.19,7.48
Gary,Alcorn,C,Regular Season,(1959-60),(1960-61),78,---,844,103,352,29%,---,---,---,55,92,60%,---,---,329,24,---,---,---,170,261,,---,---,10.82,1.32,4.51,29%,---,---,---,0.71,1.18,60%,---,---,4.22,0.31,---,---,---,2.18,3.35
Furkan,Aldemir,F-C,Regular Season,(2014-15),(2014-15),41,9,540,40,78,51%,0,5,0%,13,27,48%,78,98,176,28,17,16,17,96,93,,---,---,13.17,0.98,1.90,51%,0.00,0.12,0%,0.32,0.66,48%,1.90,2.39,4.29,0.68,0.41,0.39,0.41,2.34,2.27
Cole,Aldrich,C,Regular Season,(2010-11),(2017-18),339,23,"3,389",435,825,53%,0,0,,180,244,74%,334,797,"1,131",183,137,233,199,509,"1,050",,---,---,10.00,1.28,2.43,53%,0.00,0.00,,0.53,0.72,74%,0.99,2.35,3.34,0.54,0.40,0.69,0.59,1.50,3.10
LaMarcus,Aldridge,F,Regular Season,(2006-07),(2019-20),"1,003",962,"34,518","7,919","16,118",49%,182,584,31%,"3,579","4,414",81%,"2,686","5,675","8,361","1,985",733,"1,112","1,572","2,474","19,599",,---,---,34.41,7.90,16.07,49%,0.18,0.58,31%,3.57,4.40,81%,2.68,5.66,8.34,1.98,0.73,1.11,1.57,2.47,19.54
